1, seth faucette, green bay packers, RB, 379, 867, 45786536
31401, andrew schanz, pittsburgh steelers, QB, 25, 70, 46644367
31402, tyson testani, washington redskins, WR, 214, 939, 41245756
31403, joseph armstrong, green bay packers, RB, 493, 563, 44523512
31404, warren schenck, washington redskins, QB, 367, 452, 36369832
31405, derek weber, new york giants, WR, 214, 116, 42991839
31406, brian dick, miami dolphins, RB, 292, 181, 9437493
31407, albert mayfield, tampa bay buccaneers, RB, 362, 877, 23334965
31408, vernon gunn, houston texans, QB, 486, 187, 11367402
31409, william brady, new york giants, QB, 53, 513, 6180632
31410, richard pruitt, tennessee titans, RB, 174, 151, 5666858
31411, robert cramer, cincinnati bengals, RB, 11, 375, 41132944
31412, ben natale, san francisco 49ers, WR, 427, 961, 19881833
31413, william peccia, carolina panthers, QB, 140, 190, 3563147
31414, vernon levy, detroit lions, WR, 78, 784, 18637247
31415, kevin gabbard, dallas cowboys, RB, 309, 905, 30693842
31416, gary walker, tennessee titans, WR, 282, 545, 44000096
31417, david wilkins, cincinnati bengals, QB, 315, 615, 41110376
31418, thanh moore, kansas city chiefs, RB, 400, 328, 33547047
31419, william dellosso, indianapolis colts, WR, 207, 116, 22322181
31420, emilio rindels, detroit lions, RB, 390, 953, 6632325
31421, aaron whitmire, chicago bears, RB, 465, 666, 49095125
31422, micheal dejesus, indianapolis colts, QB, 319, 214, 37380569
31423, rene blubaugh, new orleans saints, RB, 221, 276, 12595368
31424, gus howk, new orleans saints, WR, 441, 626, 7590555
31425, marcel medeiros, kansas city chiefs, RB, 309, 668, 27177533
31426, robert neal, tampa bay buccaneers, QB, 99, 422, 38473275
31427, david hachigian, washington redskins, WR, 423, 230, 14139358
31428, michael carter, arizona cardinals, RB, 46, 135, 38268788
31429, thomas stuckett, oakland raiders, QB, 214, 211, 9370286
31430, terry santillo, houston texans, QB, 358, 652, 30435698
31431, richard griffin, tampa bay buccaneers, RB, 181, 894, 948928
31432, benjamin sandoval, seattle seahawks, RB, 142, 139, 24557054
31433, paul boudreaux, minnesota vikings, RB, 116, 393, 9774191
31434, james young, green bay packers, WR, 57, 365, 48088126
31435, benjamin mccloud, washington redskins, WR, 258, 929, 48408526
31436, eddie draeger, washington redskins, QB, 179, 575, 11555347
31437, carl sowell, tennessee titans, WR, 23, 868, 30603866
31438, carl dillard, jacksonville jaguars, WR, 61, 681, 45483599
31439, roman keylon, cleveland browns, RB, 337, 114, 44522901
31440, william powell, tampa bay buccaneers, WR, 227, 812, 48450681
31441, george west, washington redskins, QB, 251, 538, 20314233
31442, william mohan, cincinnati bengals, QB, 462, 498, 11014316
31443, emilio king, indianapolis colts, WR, 31, 254, 12545274
31444, jeff bartelson, new york jets, WR, 269, 410, 26047210
31445, heath howard, cincinnati bengals, WR, 407, 198, 11550529
31446, andrew post, san diego chargers, RB, 114, 262, 3009202
31447, randy galindo, philadelphia eagles, RB, 476, 662, 2678142
31448, michael james, buffalo bills, RB, 49, 205, 11115541
31449, albert wright, cincinnati bengals, WR, 176, 364, 44026734
31450, jonathan tyson, carolina panthers, QB, 3, 802, 19389843
31451, frank bartoletti, arizona cardinals, QB, 480, 56, 39199446
31452, frank akins, philadelphia eagles, RB, 438, 181, 8977561
31453, stanley rudio, indianapolis colts, WR, 300, 903, 27330787
31454, conrad jones, indianapolis colts, QB, 277, 42, 12267953
31455, raymond frame, tampa bay buccaneers, RB, 90, 787, 36613458
31456, john rosenstock, pittsburgh steelers, QB, 105, 847, 5879229
31457, theodore holbert, new england patriots, WR, 212, 850, 21791604
31458, eugene bollinger, cleveland browns, RB, 187, 305, 9864578
31459, woodrow bailey, green bay packers, QB, 385, 92, 20610510
31460, russell madden, san diego chargers, RB, 234, 874, 46138898
31461, george wigfield, denver broncos, QB, 23, 886, 7993350
31462, james story, miami dolphins, QB, 184, 240, 18573542
31463, gregory novak, cincinnati bengals, WR, 470, 100, 40258976
31464, jerald hopper, washington redskins, RB, 429, 657, 39839827
31465, john thoms, new york jets, QB, 422, 212, 7849432
31466, michael garcia, cincinnati bengals, RB, 131, 574, 12565104
31467, christopher earing, dallas cowboys, QB, 85, 28, 14951915
31468, matthew morrow, houston texans, QB, 367, 425, 30447341
31469, bobby lindsley, tampa bay buccaneers, RB, 420, 786, 29040901
31470, eric shrum, cleveland browns, RB, 36, 486, 34485430
31471, john fuchs, new york giants, RB, 240, 516, 42446683
31472, james porter, indianapolis colts, QB, 244, 685, 27391250
31473, dennis snyder, cincinnati bengals, QB, 89, 333, 29746067
31474, scott gunter, new york giants, WR, 397, 67, 32202634
31475, ezra busbee, detroit lions, WR, 247, 432, 9052953
31476, tuan gans, san francisco 49ers, RB, 445, 793, 22825337
31477, jackie licata, dallas cowboys, WR, 202, 89, 24466998
31478, clyde marrin, san diego chargers, RB, 497, 185, 34554274
31479, steven stone, buffalo bills, WR, 73, 854, 16255127
31480, terrell oeltjen, new york giants, RB, 475, 821, 48832731
31481, eugene lupu, denver broncos, QB, 96, 270, 21459809
31482, daryl thayer, san diego chargers, RB, 337, 22, 38407892
31483, edwin harper, denver broncos, QB, 435, 500, 8683792
31484, dale handy, houston texans, RB, 135, 42, 31265928
31485, homer shallenberger, denver broncos, WR, 157, 991, 49236396
31486, duane navarro, arizona cardinals, QB, 107, 588, 35610958
31487, jeff maffit, san diego chargers, QB, 465, 853, 14150465
31488, kenneth glenn, new england patriots, WR, 310, 956, 46261660
31489, jeremy davis, washington redskins, QB, 439, 256, 26688112
31490, mitchell deshaies, seattle seahawks, RB, 266, 127, 5372451
31491, daniel bunker, green bay packers, QB, 299, 105, 8144861
31492, kevin santiago, tennessee titans, WR, 150, 202, 19565315
31493, william bebee, cleveland browns, RB, 410, 681, 37876206
31494, steven cantrell, pittsburgh steelers, RB, 400, 868, 19323339
31495, james mccarthy, san francisco 49ers, QB, 368, 608, 31437711
31496, gary kent, new orleans saints, QB, 377, 131, 30439442
31497, marvin caywood, miami dolphins, WR, 110, 44, 47862417
31498, harry skerrett, houston texans, RB, 497, 136, 16035064
31499, eric sprague, st louis rams, QB, 196, 48, 26309034
31500, steven woods, new york giants, WR, 234, 770, 27048400
31501, james mccreery, detroit lions, RB, 30, 245, 20584386
31502, peter reeves, st louis rams, RB, 168, 942, 751969
31503, charles unga, miami dolphins, RB, 76, 551, 35589283
31504, richard robinson, green bay packers, QB, 499, 905, 37928792
31505, richard martin, minnesota vikings, QB, 413, 153, 40784438
31506, phillip koewler, st louis rams, QB, 392, 554, 18960025
31507, john smith, dallas cowboys, RB, 102, 769, 16261017
31508, james etheridge, seattle seahawks, RB, 52, 353, 18147017
31509, james chase, kansas city chiefs, RB, 27, 222, 47325465
31510, warren guerrero, kansas city chiefs, WR, 244, 74, 27740435
31511, william alexander, washington redskins, RB, 194, 950, 49037716
31512, lawrence bunn, tampa bay buccaneers, WR, 263, 465, 41487441
31513, william montalbo, kansas city chiefs, QB, 379, 501, 32075339
31514, james rogers, cincinnati bengals, WR, 471, 646, 10102096
31515, ryan miller, denver broncos, WR, 199, 722, 17501124
31516, thomas reasoner, san francisco 49ers, QB, 419, 600, 22696490
31517, leo segura, jacksonville jaguars, QB, 421, 72, 39197843
31518, robin riffle, houston texans, WR, 11, 533, 37489371
31519, tyler damron, denver broncos, WR, 30, 202, 46777089
31520, gerardo fowler, green bay packers, QB, 66, 708, 6181527
31521, gregory roberts, washington redskins, RB, 268, 735, 12430783
31522, charles spencer, dallas cowboys, QB, 301, 344, 2659758
31523, adan young, pittsburgh steelers, QB, 202, 719, 1619513
31524, philip chapman, houston texans, QB, 74, 726, 38668471
31525, mark swift, cleveland browns, QB, 290, 825, 35752999
31526, felix newell, cleveland browns, QB, 380, 993, 13808321
31527, donald holmes, minnesota vikings, WR, 464, 596, 24456226
31528, dustin cox, atlanta falcons, QB, 385, 662, 1967009
31529, john dates, tampa bay buccaneers, QB, 267, 708, 25907077
31530, arthur austin, new york jets, QB, 485, 110, 25790986
31531, eric deshields, cleveland browns, RB, 281, 399, 15974969
31532, raymond kagawa, pittsburgh steelers, QB, 66, 731, 39908362
31533, gaston krall, tampa bay buccaneers, QB, 481, 992, 27104397
31534, jason navarro, chicago bears, QB, 493, 598, 30174215
31535, steve starkes, detroit lions, RB, 225, 368, 48025070
31536, christopher thompson, new orleans saints, RB, 367, 120, 14291978
31537, david robinson, baltimore ravens, RB, 342, 737, 1297598
31538, roy williams, san diego chargers, QB, 266, 220, 12146316
31539, terry hatley, green bay packers, WR, 328, 564, 37379760
31540, ross cooper, houston texans, RB, 112, 58, 13467715
31541, thomas mason, new england patriots, WR, 416, 461, 12378731
31542, curtis hardman, philadelphia eagles, QB, 253, 582, 12013267
31543, joseph walker, washington redskins, QB, 5, 481, 22602375
31544, james haist, new york jets, RB, 261, 943, 36502085
31545, david doran, pittsburgh steelers, QB, 478, 36, 21824529
31546, john wylie, philadelphia eagles, QB, 370, 348, 30452207
31547, robert busse, chicago bears, WR, 59, 164, 18961186
31548, michel tedesco, chicago bears, WR, 24, 955, 8339279
31549, guillermo billington, green bay packers, RB, 495, 29, 34676249
31550, david worthen, dallas cowboys, RB, 285, 385, 5726805
31551, eric hovermale, new york jets, QB, 33, 600, 41116955
31552, andrew flanders, oakland raiders, QB, 206, 662, 14720059
31553, brady allen, chicago bears, RB, 405, 992, 41855832
31554, john tobias, jacksonville jaguars, RB, 37, 464, 32127366
31555, jose grimmett, san diego chargers, WR, 96, 857, 40147707
31556, robert kilpatrick, new england patriots, WR, 347, 596, 35847820
31557, kevin denning, miami dolphins, QB, 484, 674, 14604553
31558, jason odell, green bay packers, WR, 5, 249, 38645872
31559, george houston, denver broncos, WR, 34, 12, 26276809
31560, brian harrington, denver broncos, QB, 208, 271, 46443560
31561, richard semler, dallas cowboys, QB, 449, 446, 29508426
31562, albert foster, philadelphia eagles, QB, 219, 361, 7674641
31563, alexander sedore, detroit lions, RB, 199, 484, 22935384
31564, david lay, cleveland browns, QB, 75, 525, 14319823
31565, charles mahan, san francisco 49ers, RB, 282, 7, 48877471
31566, george jones, baltimore ravens, QB, 68, 395, 23182846
31567, laurence stripling, new york giants, WR, 409, 612, 928854
31568, mark butler, new york jets, QB, 326, 253, 32687774
31569, william jones, tampa bay buccaneers, QB, 135, 471, 13515363
31570, russell white, st louis rams, QB, 41, 963, 38057188
31571, stephen jamison, cleveland browns, WR, 184, 611, 47522346
31572, james smith, denver broncos, WR, 230, 422, 28940719
31573, joe robert, denver broncos, RB, 350, 669, 24669302
31574, danilo waller, tampa bay buccaneers, QB, 284, 943, 21134873
31575, william graham, chicago bears, RB, 251, 331, 30277312
31576, daniel page, washington redskins, QB, 206, 895, 15828311
31577, david carr, philadelphia eagles, WR, 322, 838, 43134387
31578, christopher goode, indianapolis colts, QB, 271, 142, 36742938
31579, lloyd pinsky, new orleans saints, RB, 183, 47, 14259287
31580, raymond carrico, tennessee titans, RB, 19, 921, 38592005
31581, christopher sierra, san francisco 49ers, QB, 159, 159, 8365519
31582, ben bennett, new orleans saints, QB, 223, 594, 16590092
31583, michael cavalero, jacksonville jaguars, WR, 244, 489, 49051831
31584, wesley law, tennessee titans, QB, 1, 738, 48124115
31585, jeff fung, kansas city chiefs, RB, 285, 609, 31046055
31586, adrian cleghorn, detroit lions, RB, 442, 105, 5134530
31587, joseph hill, houston texans, WR, 447, 450, 42251885
31588, marvin williams, new york giants, QB, 393, 325, 37174659
31589, bryan gustin, miami dolphins, QB, 227, 665, 19378038
31590, luis brown, cleveland browns, WR, 66, 761, 45728935
31591, richard russell, seattle seahawks, RB, 90, 810, 25646528
31592, david batey, philadelphia eagles, WR, 62, 443, 10265396
31593, harold gaulke, philadelphia eagles, QB, 282, 681, 49915362
31594, christopher hoffman, tennessee titans, QB, 67, 896, 38192559
31595, tony watson, st louis rams, WR, 19, 528, 20753530
31596, elbert flores, oakland raiders, WR, 330, 985, 27150229
31597, danny redmon, tampa bay buccaneers, RB, 213, 921, 40166305
31598, todd thompson, arizona cardinals, QB, 500, 739, 26535937
31599, charles reed, kansas city chiefs, WR, 468, 504, 23365663
31600, russell sink, chicago bears, WR, 1, 744, 25482190
31601, michael bates, chicago bears, RB, 136, 685, 31761459
31602, aurelio heister, tennessee titans, RB, 132, 367, 39265084
31603, donald stevenson, indianapolis colts, WR, 233, 31, 10143698
31604, raymond stewart, seattle seahawks, WR, 54, 560, 37413609
31605, walter huett, indianapolis colts, WR, 153, 245, 46361020
31606, david benjamin, chicago bears, WR, 452, 910, 11343877
31607, gail cruz, st louis rams, RB, 124, 740, 34465874
31608, daniel grace, houston texans, QB, 294, 247, 43039996
31609, kristopher jones, san francisco 49ers, WR, 169, 28, 22082205
31610, joshua vargas, san francisco 49ers, WR, 176, 347, 10072446
31611, craig cash, baltimore ravens, WR, 323, 4, 33467739
31612, matthew wolters, philadelphia eagles, WR, 452, 939, 24612968
31613, jose lusk, houston texans, WR, 196, 903, 19542194
31614, john tyler, green bay packers, QB, 355, 799, 49317508
31615, daniel le, houston texans, WR, 234, 479, 47480447
31616, samuel tyler, houston texans, QB, 96, 158, 47916503
31617, basil bell, new york jets, WR, 471, 825, 32527403
31618, james broadwater, san diego chargers, QB, 54, 937, 32537245
31619, robert estrada, washington redskins, RB, 308, 876, 7604265
31620, morris krick, cleveland browns, WR, 79, 342, 39763714
31621, albert carroll, washington redskins, QB, 326, 923, 49305161
31622, jason priest, minnesota vikings, WR, 420, 278, 41340633
31623, don alexis, seattle seahawks, RB, 322, 541, 35634992
31624, shaun cowart, new orleans saints, QB, 351, 464, 9165916
31625, brad mohler, new york giants, RB, 172, 911, 39290883
31626, robert bank, green bay packers, QB, 229, 884, 20527469
31627, miles mayer, seattle seahawks, RB, 252, 628, 39111423
31628, solomon parkinson, green bay packers, RB, 246, 756, 32180186
31629, edmundo menefield, oakland raiders, WR, 495, 189, 25571963
31630, bradley morgan, tennessee titans, RB, 166, 122, 43808004
31631, kenneth robles, new york jets, QB, 491, 789, 12866260
31632, charles klocke, green bay packers, QB, 88, 725, 39165115
31633, javier hill, buffalo bills, QB, 233, 552, 43461851
31634, ruben cook, kansas city chiefs, RB, 423, 596, 11377308
31635, michael ausmus, minnesota vikings, WR, 280, 86, 28205230
31636, christopher niles, tennessee titans, RB, 358, 244, 2983595
31637, james garrett, jacksonville jaguars, WR, 375, 729, 48085178
31638, don click, detroit lions, RB, 228, 668, 20525730
31639, robert rivas, new orleans saints, QB, 251, 122, 48301300
31640, ronald zeff, minnesota vikings, WR, 132, 530, 10722677
31641, richard salais, cleveland browns, WR, 334, 314, 41801866
31642, michael gott, new york jets, QB, 247, 518, 35571815
31643, gregory wise, washington redskins, QB, 310, 808, 37517899
31644, james rojas, philadelphia eagles, QB, 196, 674, 32335893
31645, charlie harmon, new orleans saints, RB, 382, 447, 17969347
31646, gene bevins, tennessee titans, WR, 191, 655, 47404957
31647, elvin wright, indianapolis colts, RB, 319, 772, 20958243
31648, orville bigelow, miami dolphins, QB, 85, 679, 577775
31649, james bagley, miami dolphins, RB, 142, 485, 23439607
31650, robin trent, philadelphia eagles, QB, 463, 11, 35323663
31651, albert scoville, miami dolphins, WR, 416, 922, 29180740
31652, joaquin lopez, houston texans, WR, 291, 996, 43901595
31653, jonathan szczepanek, new orleans saints, RB, 447, 49, 1582763
31654, drew boyer, pittsburgh steelers, RB, 122, 318, 2245459
31655, marcus morgan, new orleans saints, RB, 223, 290, 17478419
31656, carmen starnes, green bay packers, WR, 234, 617, 40719149
31657, james pinson, chicago bears, QB, 497, 924, 14708637
31658, russell winters, jacksonville jaguars, RB, 134, 259, 4930516
31659, harry collins, dallas cowboys, RB, 75, 513, 2746148
31660, anton lawton, new orleans saints, QB, 164, 255, 13243879
31661, robert oliver, new york jets, WR, 137, 279, 23430868
31662, cory parker, tampa bay buccaneers, QB, 129, 631, 41347595
31663, kenneth toenges, baltimore ravens, QB, 365, 97, 6344281
31664, allen hoyt, st louis rams, WR, 225, 193, 43513695
31665, harold perales, detroit lions, RB, 343, 547, 45435639
31666, eric dixon, carolina panthers, QB, 339, 461, 24851938
31667, anthony tsai, atlanta falcons, RB, 313, 322, 21665845
31668, herbert wallace, st louis rams, WR, 31, 665, 13631393
31669, charles stinnett, chicago bears, WR, 144, 833, 9221537
31670, jeffrey partida, philadelphia eagles, QB, 293, 621, 32172817
31671, daniel findley, st louis rams, WR, 497, 157, 24178156
31672, kelly rutherford, philadelphia eagles, RB, 89, 573, 48741078
31673, donnie stewart, tampa bay buccaneers, WR, 473, 415, 30942620
31674, james lai, new york giants, RB, 318, 589, 27368906
31675, bobby carter, indianapolis colts, RB, 146, 937, 8155894
31676, anthony johnson, indianapolis colts, WR, 118, 804, 28167407
31677, charles cassity, san francisco 49ers, WR, 192, 773, 43993045
31678, steven crowley, pittsburgh steelers, RB, 392, 797, 8934238
31679, matthew jackson, philadelphia eagles, RB, 258, 757, 48312458
31680, kenneth nichols, san francisco 49ers, RB, 340, 364, 4318910
31681, stephen flynn, new york jets, WR, 113, 366, 11354450
31682, edward long, washington redskins, RB, 383, 477, 21127125
31683, julius quinones, philadelphia eagles, RB, 238, 96, 20781395
31684, brian dwaileebe, new york jets, QB, 470, 359, 44635938
31685, joe black, san diego chargers, RB, 103, 105, 43949225
31686, jason sessions, new york giants, WR, 199, 335, 1352169
31687, ron osegueda, new england patriots, RB, 158, 393, 35573965
31688, george paradis, cincinnati bengals, RB, 235, 538, 28670558
31689, cole thomas, green bay packers, WR, 26, 441, 36327320
31690, brian smith, new york jets, WR, 246, 916, 3433784
31691, samuel rabun, new york giants, RB, 464, 983, 16368274
31692, bradley kalberer, washington redskins, RB, 18, 795, 10889945
31693, robert canaday, jacksonville jaguars, QB, 334, 550, 41050115
31694, theodore monroe, washington redskins, QB, 33, 32, 35144734
31695, christopher skinner, atlanta falcons, WR, 366, 674, 49065621
31696, salvatore yates, new england patriots, QB, 113, 963, 36429284
31697, john bethea, san diego chargers, WR, 39, 726, 42950244
31698, francisco higginbotham, new england patriots, RB, 183, 821, 32698308
31699, william luckey, arizona cardinals, WR, 362, 702, 42707425
31700, larry hillsgrove, miami dolphins, WR, 440, 870, 21486219
31701, carl scallon, jacksonville jaguars, RB, 371, 197, 19631623
31702, james smith, tampa bay buccaneers, QB, 101, 994, 40785706
31703, salvador smith, cleveland browns, QB, 405, 913, 38887989
31704, steve cannon, new england patriots, QB, 24, 992, 10779699
31705, anthony abercrombie, buffalo bills, RB, 31, 1000, 39198831
31706, michael jackson, cleveland browns, RB, 263, 286, 19129419
31707, juan shuster, cleveland browns, WR, 147, 147, 37665224
31708, stephen horn, arizona cardinals, WR, 265, 437, 40485328
31709, john davis, kansas city chiefs, WR, 461, 545, 26193574
31710, bruce evans, indianapolis colts, QB, 295, 445, 1447441
31711, nathan green, new york giants, WR, 230, 760, 46193425
31712, timothy duhon, jacksonville jaguars, RB, 256, 478, 45054840
31713, keith acevedo, minnesota vikings, QB, 282, 329, 29145002
31714, robert crowley, new orleans saints, WR, 341, 541, 15252949
31715, roy consla, san diego chargers, RB, 247, 272, 19254489
31716, john curtis, denver broncos, QB, 386, 74, 44447966
31717, joshua jablonski, carolina panthers, WR, 96, 462, 33564509
31718, michael keach, arizona cardinals, QB, 196, 305, 32085717
31719, allen mcnabb, atlanta falcons, RB, 405, 844, 15261185
31720, nelson hames, chicago bears, RB, 363, 402, 30713159
31721, wiley eckard, new york jets, QB, 109, 321, 5100198
31722, eduardo buckman, cincinnati bengals, RB, 439, 516, 11260657
31723, charles spencer, jacksonville jaguars, QB, 356, 824, 5722849
31724, ronald curry, san diego chargers, RB, 386, 734, 19609949
31725, marvin varin, cincinnati bengals, WR, 80, 182, 33459745
31726, humberto gil, minnesota vikings, WR, 181, 24, 20354087
31727, clifford runquist, jacksonville jaguars, RB, 489, 245, 5495595
31728, doyle jordan, baltimore ravens, RB, 216, 235, 39960997
31729, jamie jenkins, buffalo bills, RB, 152, 216, 35387385
31730, arnold nakata, st louis rams, QB, 379, 733, 48499460
31731, glenn davis, san francisco 49ers, QB, 6, 492, 3123840
31732, christopher odonal, carolina panthers, WR, 122, 985, 3313483
31733, brian abeyta, kansas city chiefs, QB, 500, 763, 34988425
31734, ronald conner, kansas city chiefs, WR, 110, 909, 35517569
31735, david sloan, buffalo bills, RB, 421, 764, 9458625
31736, charles gonzales, indianapolis colts, QB, 371, 411, 44311722
31737, william mcintyre, tennessee titans, WR, 86, 173, 15145119
31738, douglas hertel, baltimore ravens, QB, 419, 492, 42551141
31739, daniel ingram, new orleans saints, QB, 329, 225, 41086248
31740, patrick alexander, green bay packers, RB, 336, 109, 40628328
31741, sean macdonald, new orleans saints, RB, 426, 943, 40615804
31742, john morano, new york giants, QB, 284, 904, 45288220
31743, kevin chipman, tampa bay buccaneers, RB, 160, 923, 14365036
31744, frank williamson, baltimore ravens, WR, 53, 273, 7481445
31745, glen barker, dallas cowboys, QB, 126, 589, 37937463
31746, richard alvarez, jacksonville jaguars, WR, 447, 8, 37355475
31747, david simonson, dallas cowboys, QB, 241, 321, 8827389
31748, hal tipka, seattle seahawks, RB, 303, 331, 13874567
31749, jason aurora, houston texans, QB, 166, 541, 28721812
31750, kenneth allman, houston texans, RB, 469, 578, 27785485
31751, donald cacy, washington redskins, WR, 296, 265, 5220015
31752, david cronin, arizona cardinals, QB, 348, 660, 49842151
31753, dwight biggs, baltimore ravens, WR, 484, 909, 28783302
31754, matthew herman, new england patriots, QB, 376, 413, 43892460
31755, val king, green bay packers, RB, 172, 346, 46342244
31756, arthur oleary, cincinnati bengals, QB, 13, 471, 23367690
31757, guadalupe kaufman, new orleans saints, WR, 266, 472, 4821217
31758, taylor worthing, atlanta falcons, RB, 163, 582, 19645121
31759, george caruso, carolina panthers, WR, 215, 717, 15871431
31760, stuart galloway, new york giants, WR, 226, 1, 1126615
31761, robert smothers, buffalo bills, QB, 132, 470, 25711529
31762, david self, new orleans saints, WR, 494, 509, 14474351
31763, andrew fogel, philadelphia eagles, RB, 440, 543, 6616944
31764, daniel neely, philadelphia eagles, QB, 244, 566, 13670972
31765, christopher aldridge, carolina panthers, WR, 272, 159, 21162828
31766, moshe hennen, washington redskins, WR, 111, 787, 24067612
31767, frank delavega, washington redskins, QB, 237, 399, 45613422
31768, jesus richardson, st louis rams, QB, 180, 173, 5311777
31769, roland brink, cincinnati bengals, WR, 46, 418, 15377701
31770, jean bowman, cleveland browns, RB, 42, 810, 42768561
31771, david wilson, atlanta falcons, RB, 435, 875, 27253323
31772, paul buckley, indianapolis colts, RB, 125, 112, 2811386
31773, michael nelson, st louis rams, WR, 492, 360, 7929001
31774, bobby hickman, buffalo bills, WR, 192, 177, 34843643
31775, willard manley, san francisco 49ers, WR, 136, 749, 31635094
31776, harry mcdougle, oakland raiders, QB, 233, 281, 3901312
31777, thomas miller, cincinnati bengals, WR, 363, 932, 8884310
31778, james gagne, san diego chargers, QB, 147, 716, 43108911
31779, willard jones, washington redskins, QB, 205, 620, 17516250
31780, joseph cockrill, carolina panthers, WR, 282, 982, 46009788
31781, peter medved, baltimore ravens, QB, 195, 276, 47595167
31782, stephen quinn, san diego chargers, WR, 426, 286, 48616247
31783, john walker, buffalo bills, QB, 440, 660, 1140420
31784, norman schaefer, san diego chargers, WR, 289, 989, 39090252
31785, brian shaw, tennessee titans, WR, 158, 561, 36658907
31786, sean wilmore, new york jets, RB, 434, 424, 35282623
31787, juan fortney, cincinnati bengals, QB, 264, 637, 22337545
31788, ralph coyne, oakland raiders, QB, 19, 132, 14467109
31789, williams hamilton, carolina panthers, RB, 262, 22, 28976380
31790, angel mittendorf, washington redskins, WR, 12, 553, 12302777
31791, alan diaz, cincinnati bengals, WR, 147, 747, 20326371
31792, bernard gordon, new orleans saints, RB, 453, 719, 22565429
31793, arnulfo harris, seattle seahawks, WR, 432, 888, 9619847
31794, fred ramirez, green bay packers, WR, 255, 653, 5670977
31795, michael micucci, san diego chargers, WR, 45, 419, 8232795
31796, john gordon, houston texans, WR, 292, 220, 24215894
31797, paul miyasato, arizona cardinals, WR, 456, 882, 49322502
31798, bobby longerbeam, seattle seahawks, QB, 372, 710, 40846223
31799, charles nealy, chicago bears, QB, 410, 61, 37776335
31800, robert heller, tennessee titans, QB, 373, 79, 45723931
31801, james brooks, new england patriots, RB, 69, 907, 12986418
31802, paul smith, dallas cowboys, WR, 153, 877, 39958499
31803, james brown, new york jets, QB, 89, 660, 40776951
31804, irving martinez, detroit lions, RB, 80, 285, 8997615
31805, ken stephens, jacksonville jaguars, RB, 405, 978, 32719402
31806, robert seymour, detroit lions, WR, 33, 798, 34855267
31807, fidel portwood, pittsburgh steelers, WR, 357, 34, 20722634
31808, christian staley, oakland raiders, RB, 346, 292, 44838654
31809, andrew harris, st louis rams, WR, 69, 26, 23816713
31810, john beck, pittsburgh steelers, RB, 495, 658, 38163830
31811, glenn erickson, new york jets, WR, 421, 331, 32361181
31812, james jardine, buffalo bills, RB, 389, 68, 29352303
31813, joseph vanwinkle, arizona cardinals, RB, 426, 705, 47369877
31814, john danielson, new england patriots, QB, 410, 701, 5153969
31815, bryant oldham, jacksonville jaguars, QB, 169, 895, 39898653
31816, juan west, kansas city chiefs, WR, 478, 645, 39164551
31817, sanford marshall, oakland raiders, RB, 285, 44, 29134359
31818, jose villanueva, pittsburgh steelers, WR, 327, 489, 7025365
31819, edwin bales, dallas cowboys, WR, 116, 743, 1462579
31820, stephen thibodaux, detroit lions, WR, 11, 43, 47152747
31821, larry grimes, new orleans saints, QB, 214, 727, 14450133
31822, tom black, washington redskins, QB, 359, 466, 35160081
31823, nathaniel howard, washington redskins, QB, 365, 45, 2223389
31824, steven allard, kansas city chiefs, WR, 81, 912, 520479
31825, homer ault, new orleans saints, RB, 208, 861, 13443869
31826, brandon aranda, dallas cowboys, QB, 94, 830, 11327939
31827, adam robinson, san diego chargers, RB, 353, 268, 46020923
31828, leslie pruitt, chicago bears, RB, 267, 100, 4218897
31829, william lacey, dallas cowboys, RB, 195, 395, 40473006
31830, paul coles, arizona cardinals, QB, 69, 190, 25419595
31831, johnnie haynes, jacksonville jaguars, WR, 114, 371, 2286589
31832, alan finkel, philadelphia eagles, RB, 19, 87, 40473055
31833, james erickson, buffalo bills, WR, 460, 641, 9084798
31834, david tan, san francisco 49ers, WR, 250, 714, 35126732
31835, william vaughn, cincinnati bengals, WR, 253, 478, 20706175
31836, matthew gerhardt, new york giants, RB, 25, 596, 38030334
31837, arthur taggart, minnesota vikings, QB, 441, 550, 4211878
31838, edward akins, dallas cowboys, QB, 391, 238, 3039892
31839, larry brown, atlanta falcons, RB, 475, 641, 47975001
31840, paul hawker, chicago bears, WR, 43, 16, 10818298
31841, daniel morris, tampa bay buccaneers, RB, 371, 905, 18235392
31842, victor gizzi, new york jets, RB, 427, 524, 34996482
31843, mark stacey, miami dolphins, RB, 36, 982, 8808047
31844, michael bock, buffalo bills, QB, 266, 753, 19071203
31845, james arndt, atlanta falcons, RB, 414, 187, 12604283
31846, bertram gary, kansas city chiefs, RB, 254, 669, 46099936
31847, michael gullatte, arizona cardinals, WR, 328, 94, 48022870
31848, thomas wenstrom, st louis rams, WR, 13, 164, 35562208
31849, dwight bowman, cleveland browns, QB, 175, 356, 10808777
31850, scotty myles, atlanta falcons, WR, 123, 384, 1188821
31851, phillip levinthal, houston texans, WR, 309, 370, 41757792
31852, jimmy webb, st louis rams, WR, 43, 636, 33076381
31853, melvin hartley, seattle seahawks, RB, 19, 688, 10735796
31854, timothy aguilar, jacksonville jaguars, WR, 381, 554, 29069863
31855, maurice weaver, minnesota vikings, WR, 48, 988, 48245368
31856, jamal morse, tampa bay buccaneers, QB, 14, 238, 20325708
31857, bruce stevens, philadelphia eagles, QB, 496, 882, 41043050
31858, timothy lovelace, new york giants, QB, 455, 336, 9455650
