1, 2007-10-6, raymond james, W, 3403, 9346
11731, 2004-3-16, cleveland browns, L, 4881, 2038
11732, 2016-3-16, lambeau, L, 755, 4131
11733, 2017-9-16, gillette, W, 2506, 4315
11734, 2013-3-23, cleveland browns, L, 824, 6105
11735, 2012-5-13, lucas oil, W, 2184, 8825
11736, 2012-4-7, heinz, L, 4514, 9488
11737, 2010-4-22, georgia dome, T, 4439, 4043
11738, 2004-5-15, qualcomm, W, 1100, 1018
11739, 2013-11-29, qwest, L, 3364, 8732
11740, 2016-9-2, paul brown, T, 4044, 9645
11741, 2018-9-15, university of phoenix, L, 1477, 2852
11742, 2008-3-4, gillette, W, 2828, 6027
11743, 2012-2-5, candlestick, T, 2469, 6024
11744, 2002-8-21, gillette, L, 4767, 5034
11745, 2013-7-21, everbank, T, 4906, 6420
11746, 2016-7-10, candlestick, T, 2544, 6052
11747, 2010-10-15, oakland-alameda, L, 2118, 7896
11748, 2006-4-11, hubert metrodome, T, 1323, 6415
11749, 2004-2-21, qwest, W, 3027, 6728
11750, 2000-9-3, fedexfield, T, 4514, 2387
11751, 2012-7-27, hubert metrodome, W, 1325, 6563
11752, 2001-2-30, hubert metrodome, W, 2528, 3653
11753, 2009-7-4, lucas oil, W, 2360, 9115
11754, 2005-10-28, cleveland browns, T, 163, 1379
11755, 2018-9-26, invesco, T, 4830, 4724
11756, 2001-10-7, raymond james, L, 3032, 5778
11757, 2013-7-8, qualcomm, W, 4423, 7830
11758, 2015-6-17, dolphin, W, 794, 7040
11759, 2002-10-19, louisiana superdome, L, 4637, 1796
11760, 2016-7-21, paul brown, L, 3845, 708
11761, 2014-5-21, georgia dome, L, 120, 3332
11762, 2017-3-5, raymond james, L, 1288, 9392
11763, 2009-3-28, invesco, L, 116, 300
11764, 2006-12-29, lucas oil, T, 3003, 1857
11765, 2016-10-17, soldier field ii, T, 1440, 1738
11766, 2012-11-25, raymond james, T, 398, 9729
11767, 2014-4-27, heinz, L, 4196, 9788
11768, 2000-8-12, ford, W, 2899, 8670
11769, 2014-11-12, fedexfield, W, 1162, 6429
11770, 2002-11-3, university of phoenix, T, 439, 8052
11771, 2003-5-28, oakland-alameda, T, 4502, 6332
11772, 2009-3-29, qualcomm, T, 4845, 9620
11773, 2000-1-30, giants, W, 2727, 7492
11774, 2016-8-9, qualcomm, L, 4915, 2395
11775, 2002-6-1, raymond james, T, 3916, 1403
11776, 2011-9-18, ralph wilson, W, 2058, 8994
11777, 2011-5-20, louisiana superdome, T, 2424, 5978
11778, 2004-9-21, ford, L, 1282, 3068
11779, 2015-5-10, ralph wilson, W, 332, 3207
11780, 2018-6-18, arrowhead, T, 315, 304
11781, 2008-5-5, m&t bank, L, 4417, 434
11782, 2006-9-20, university of phoenix, L, 2535, 9196
11783, 2006-7-5, lincoln, L, 4743, 8136
11784, 2018-2-11, giants, T, 4942, 1175
11785, 2012-9-2, edward jones, T, 4931, 7588
11786, 2009-5-26, lambeau, L, 267, 6658
11787, 2010-7-29, lambeau, T, 312, 5899
11788, 2009-8-7, arrowhead, L, 1458, 468
11789, 2012-10-8, georgia dome, W, 3441, 510
11790, 2010-2-21, fedexfield, W, 4119, 8697
11791, 2013-9-10, lucas oil, W, 4889, 2159
11792, 2016-12-4, hubert metrodome, L, 3133, 100
11793, 2015-10-19, everbank, L, 845, 1079
11794, 2017-1-26, lambeau, L, 2333, 701
11795, 2009-7-29, ford, T, 2850, 8280
11796, 2006-5-29, university of phoenix, T, 1227, 3157
11797, 2017-12-23, hubert metrodome, T, 2169, 4828
11798, 2014-1-28, bank of america, T, 2303, 2446
11799, 2001-10-13, university of phoenix, L, 4865, 2685
11800, 2005-9-11, arrowhead, W, 2654, 8092
11801, 2009-2-25, lp, T, 921, 9794
11802, 2010-8-27, georgia dome, W, 1565, 9115
11803, 2012-2-12, ford, W, 716, 6500
11804, 2000-1-9, candlestick, L, 4508, 5493
11805, 2010-7-16, lambeau, T, 4061, 1612
11806, 2012-5-29, oakland-alameda, T, 1225, 654
11807, 2014-2-21, dallas cowboys, L, 173, 4694
11808, 2018-9-15, ralph wilson, T, 4465, 1301
11809, 2008-4-23, ralph wilson, W, 4002, 4814
11810, 2000-8-26, paul brown, T, 707, 3512
11811, 2007-4-7, raymond james, L, 4609, 2096
11812, 2012-5-1, invesco, W, 4157, 5382
11813, 2012-10-28, lucas oil, W, 2907, 7600
11814, 2002-9-2, fedexfield, T, 2130, 3296
11815, 2012-11-23, qualcomm, W, 1582, 8637
11816, 2002-10-29, university of phoenix, T, 412, 905
11817, 2010-7-28, louisiana superdome, T, 3515, 8577
11818, 2006-1-16, m&t bank, W, 4488, 613
11819, 2017-1-9, paul brown, L, 4278, 3076
11820, 2007-9-15, georgia dome, T, 3797, 6562
11821, 2017-10-18, ralph wilson, W, 1320, 2100
11822, 2013-11-22, raymond james, L, 3343, 8677
11823, 2011-2-17, gillette, T, 4307, 437
11824, 2012-5-29, oakland-alameda, W, 868, 4279
11825, 2006-2-21, everbank, W, 2398, 2898
11826, 2008-11-14, lincoln, L, 3158, 2951
11827, 2018-5-25, university of phoenix, L, 2772, 198
11828, 2000-12-10, ralph wilson, T, 2330, 9262
11829, 2005-10-18, louisiana superdome, T, 3867, 1645
11830, 2011-11-6, georgia dome, T, 3657, 3271
11831, 2008-10-10, fedexfield, T, 3446, 875
11832, 2005-11-3, everbank, T, 4167, 9923
11833, 2006-5-2, giants, W, 2818, 5050
11834, 2008-3-1, louisiana superdome, T, 1668, 7026
11835, 2016-3-16, georgia dome, W, 2035, 3608
11836, 2006-5-20, dolphin, T, 419, 1733
11837, 2012-7-25, university of phoenix, L, 2502, 6379
11838, 2016-10-30, hubert metrodome, T, 2184, 1471
11839, 2002-1-13, soldier field ii, T, 2367, 7248
11840, 2015-12-7, paul brown, W, 3046, 2418
11841, 2018-4-27, heinz, T, 3039, 9238
11842, 2005-12-2, qwest, W, 4825, 2023
11843, 2012-5-4, ralph wilson, T, 2157, 5305
11844, 2017-2-18, giants, T, 1338, 5857
11845, 2012-12-9, everbank, W, 4276, 2786
11846, 2000-4-2, invesco, W, 1082, 3062
11847, 2007-12-2, lambeau, L, 2173, 9847
11848, 2009-8-13, lambeau, L, 4497, 7368
11849, 2014-2-30, heinz, T, 1748, 2428
11850, 2018-12-13, gillette, W, 2289, 5271
11851, 2003-2-29, edward jones, T, 3473, 1843
11852, 2016-2-25, ralph wilson, L, 2211, 4967
11853, 2011-8-19, reliant, W, 123, 324
11854, 2001-5-30, georgia dome, L, 497, 6175
11855, 2018-3-3, candlestick, T, 2220, 7362
11856, 2009-5-5, ralph wilson, T, 4250, 4264
11857, 2001-7-12, giants, T, 321, 285
11858, 2003-11-19, lucas oil, T, 2274, 1116
11859, 2002-1-4, lincoln, T, 1505, 7549
11860, 2015-12-25, dolphin, T, 4097, 8593
11861, 2018-4-13, bank of america, T, 1683, 3948
11862, 2013-1-14, reliant, L, 2603, 8162
11863, 2007-2-11, reliant, W, 4568, 7231
11864, 2004-4-25, lucas oil, T, 4560, 9966
11865, 2006-5-26, louisiana superdome, T, 4149, 2175
11866, 2013-8-5, georgia dome, L, 1236, 2667
11867, 2007-4-22, ralph wilson, T, 4707, 794
11868, 2014-4-18, ralph wilson, W, 4051, 5549
11869, 2015-6-28, qualcomm, L, 4018, 7665
11870, 2016-10-23, cleveland browns, T, 2152, 4569
11871, 2000-4-22, soldier field ii, W, 4730, 8545
11872, 2018-10-22, cleveland browns, T, 3111, 8062
11873, 2005-8-8, oakland-alameda, T, 4009, 3164
11874, 2010-2-25, qwest, W, 3562, 4125
11875, 2007-3-12, lucas oil, L, 1225, 6418
11876, 2016-2-21, lucas oil, T, 1730, 4379
11877, 2005-11-23, fedexfield, T, 2936, 467
11878, 2005-3-28, raymond james, L, 1572, 453
11879, 2008-7-13, georgia dome, T, 4744, 7300
11880, 2013-4-20, soldier field ii, L, 2385, 9261
11881, 2003-2-8, fedexfield, L, 1136, 2959
11882, 2001-6-10, lincoln, T, 4555, 7706
11883, 2007-3-28, candlestick, T, 2506, 8997
11884, 2014-11-18, oakland-alameda, L, 4323, 5026
11885, 2007-11-25, reliant, L, 221, 7101
11886, 2015-2-28, soldier field ii, W, 2075, 1671
11887, 2009-7-13, lincoln, W, 4297, 3471
11888, 2000-11-12, fedexfield, T, 2256, 2179
11889, 2014-3-14, soldier field ii, T, 2817, 2021
11890, 2012-11-13, university of phoenix, L, 3506, 1398
11891, 2014-9-8, paul brown, W, 4172, 6785
11892, 2013-9-3, lincoln, W, 4112, 2484
11893, 2003-10-12, lp, W, 1422, 4151
11894, 2007-3-12, soldier field ii, W, 3205, 1200
11895, 2008-2-5, candlestick, T, 1049, 7277
11896, 2004-10-16, heinz, T, 2421, 4949
11897, 2002-1-5, louisiana superdome, L, 2949, 569
11898, 2003-9-8, qualcomm, W, 2762, 7357
11899, 2014-10-20, giants, L, 1836, 3005
11900, 2012-9-25, gillette, W, 2145, 2280
11901, 2007-11-7, georgia dome, L, 3950, 7164
11902, 2010-7-20, lincoln, L, 2781, 3188
11903, 2017-1-1, lambeau, W, 2506, 1097
11904, 2016-1-6, everbank, W, 1378, 4260
11905, 2012-2-11, cleveland browns, L, 2388, 5899
11906, 2004-3-2, dolphin, T, 1409, 3109
11907, 2013-11-1, ralph wilson, T, 3538, 5875
11908, 2012-10-11, arrowhead, L, 2630, 894
11909, 2004-4-2, university of phoenix, T, 4303, 1903
11910, 2005-3-24, invesco, W, 1070, 3316
11911, 2015-1-24, arrowhead, W, 1992, 555
11912, 2018-6-23, lucas oil, T, 653, 9633
11913, 2001-4-9, lp, L, 2530, 1164
11914, 2005-2-16, gillette, T, 4232, 8297
11915, 2016-12-5, heinz, L, 4599, 1744
11916, 2012-3-21, dolphin, W, 4022, 5637
11917, 2010-10-6, giants, L, 1979, 5104
11918, 2002-5-7, dallas cowboys, T, 4092, 7211
11919, 2012-5-9, fedexfield, L, 3003, 9861
11920, 2016-3-9, cleveland browns, W, 4716, 4454
11921, 2002-8-12, heinz, L, 3419, 3958
11922, 2005-1-26, bank of america, W, 102, 7733
11923, 2004-4-27, ralph wilson, L, 3689, 7680
11924, 2013-10-12, university of phoenix, L, 3501, 7357
11925, 2018-5-7, lp, W, 4547, 6951
11926, 2016-5-10, cleveland browns, L, 3750, 5380
11927, 2004-8-15, cleveland browns, T, 4524, 3792
11928, 2013-3-29, cleveland browns, W, 3694, 928
11929, 2005-8-13, university of phoenix, T, 3875, 2441
11930, 2010-9-10, cleveland browns, T, 2250, 3427
11931, 2017-9-12, lp, L, 3377, 7626
11932, 2005-8-3, dallas cowboys, L, 2567, 3360
11933, 2009-12-23, arrowhead, W, 3690, 487
11934, 2001-4-15, dallas cowboys, L, 4050, 5342
11935, 2013-6-6, gillette, W, 4964, 5930
11936, 2010-6-21, louisiana superdome, W, 2067, 8036
11937, 2004-10-14, candlestick, L, 1566, 8599
11938, 2009-12-1, giants, L, 1113, 5718
11939, 2005-10-23, dallas cowboys, W, 1417, 1721
11940, 2011-7-29, oakland-alameda, L, 1177, 4687
11941, 2017-7-28, invesco, W, 4305, 3651
11942, 2014-1-1, ford, W, 165, 3895
11943, 2006-3-8, edward jones, T, 1709, 1534
11944, 2014-4-22, arrowhead, L, 3091, 2714
11945, 2018-12-26, edward jones, W, 2989, 4221
11946, 2003-4-6, qwest, T, 3945, 2426
11947, 2013-5-4, qualcomm, T, 2364, 2707
11948, 2016-3-5, heinz, T, 1425, 3144
11949, 2015-1-13, raymond james, W, 4277, 3572
11950, 2014-5-29, louisiana superdome, T, 3682, 9213
11951, 2017-11-20, heinz, W, 798, 1797
11952, 2013-7-4, qwest, W, 3745, 2632
11953, 2017-6-4, dolphin, T, 4197, 793
11954, 2008-5-25, lambeau, W, 2724, 667
11955, 2000-3-29, ford, T, 1378, 771
11956, 2004-1-29, ford, W, 4307, 4366
11957, 2015-10-20, arrowhead, W, 4136, 3445
11958, 2018-6-28, dolphin, T, 3356, 5954
11959, 2018-5-6, giants, W, 4276, 4130
11960, 2005-2-5, everbank, W, 203, 531
11961, 2012-8-10, lambeau, L, 4291, 7083
11962, 2013-6-1, dallas cowboys, T, 3546, 3595
11963, 2006-6-13, lincoln, L, 1997, 8708
11964, 2005-3-4, lambeau, T, 613, 1188
11965, 2002-4-27, lincoln, W, 3152, 4299
11966, 2002-7-3, lincoln, W, 696, 931
11967, 2018-12-29, edward jones, T, 4187, 2732
11968, 2016-5-27, reliant, W, 112, 4268
11969, 2000-1-20, everbank, T, 1292, 7669
11970, 2006-10-10, university of phoenix, L, 4561, 5347
11971, 2015-6-23, georgia dome, T, 1384, 5674
11972, 2001-10-11, paul brown, L, 1057, 4713
11973, 2014-4-23, raymond james, W, 4188, 8033
11974, 2000-12-4, louisiana superdome, W, 4071, 2234
11975, 2015-8-6, paul brown, W, 1761, 860
11976, 2006-9-16, invesco, L, 548, 2569
11977, 2013-12-15, qwest, T, 3017, 6518
11978, 2013-1-13, giants, L, 2254, 3291
11979, 2002-11-23, fedexfield, T, 1104, 9394
11980, 2008-8-19, gillette, W, 1409, 396
11981, 2006-4-11, raymond james, T, 4040, 6487
11982, 2009-11-13, candlestick, L, 977, 6064
11983, 2008-9-17, soldier field ii, T, 4295, 2527
11984, 2010-1-27, reliant, W, 4090, 2407
11985, 2002-6-2, louisiana superdome, L, 4085, 8948
11986, 2014-4-1, gillette, L, 4346, 3898
11987, 2007-11-18, dallas cowboys, T, 2163, 1047
11988, 2009-3-10, ford, L, 576, 4498
11989, 2011-11-21, university of phoenix, L, 4878, 5575
11990, 2015-2-4, louisiana superdome, W, 1074, 3486
11991, 2003-9-10, louisiana superdome, W, 1118, 2209
11992, 2004-1-22, arrowhead, W, 2918, 8336
11993, 2018-12-2, qualcomm, T, 4558, 6697
11994, 2011-2-10, ford, L, 3277, 6180
11995, 2010-7-21, lp, W, 1972, 7667
11996, 2005-11-25, bank of america, W, 1082, 8921
11997, 2007-8-6, candlestick, W, 1890, 8320
11998, 2006-10-2, dolphin, T, 3119, 1848
11999, 2005-5-24, edward jones, W, 4349, 2700
12000, 2005-12-18, oakland-alameda, L, 342, 2611
12001, 2006-10-29, bank of america, W, 2606, 7557
12002, 2008-6-21, gillette, W, 252, 5504
12003, 2006-11-6, oakland-alameda, W, 3080, 2760
12004, 2015-3-4, paul brown, W, 899, 9377
12005, 2008-10-9, arrowhead, T, 1698, 6802
12006, 2016-7-14, giants, W, 2684, 9895
12007, 2013-1-24, university of phoenix, L, 2213, 9375
12008, 2018-6-17, gillette, W, 3611, 5561
12009, 2014-9-15, lambeau, T, 2467, 1107
12010, 2007-11-10, hubert metrodome, T, 2747, 1504
12011, 2012-3-21, lucas oil, T, 4444, 8468
12012, 2018-8-28, lucas oil, W, 4892, 3549
12013, 2005-11-25, reliant, T, 2307, 9116
12014, 2018-7-29, heinz, L, 3642, 8388
12015, 2010-9-15, arrowhead, W, 4634, 3896
12016, 2018-10-1, lucas oil, W, 929, 1794
12017, 2008-1-26, paul brown, W, 1195, 8936
12018, 2000-3-25, georgia dome, W, 3998, 2133
12019, 2018-3-1, raymond james, W, 4189, 7581
12020, 2003-7-30, dolphin, W, 3176, 8362
12021, 2004-7-28, cleveland browns, T, 2663, 2167
12022, 2016-7-21, ralph wilson, W, 530, 9480
12023, 2007-2-1, qualcomm, W, 4445, 8790
12024, 2013-2-8, qualcomm, T, 3904, 1473
12025, 2010-7-25, dolphin, W, 4143, 1273
12026, 2009-1-22, dolphin, T, 2615, 7334
12027, 2007-1-25, invesco, T, 1752, 1159
12028, 2012-11-22, lucas oil, L, 3362, 725
12029, 2017-9-20, heinz, T, 531, 4958
12030, 2000-3-16, soldier field ii, L, 4016, 9829
12031, 2012-8-13, reliant, W, 510, 637
12032, 2000-7-5, lp, T, 3086, 9311
12033, 2007-8-24, qualcomm, W, 410, 6998
12034, 2016-9-28, lincoln, T, 3201, 8533
12035, 2014-5-29, dolphin, T, 1539, 9524
12036, 2014-11-19, reliant, T, 1882, 2157
12037, 2014-2-3, louisiana superdome, L, 3896, 5821
12038, 2009-12-5, gillette, T, 696, 5699
12039, 2009-8-29, ralph wilson, L, 262, 7976
12040, 2004-12-29, university of phoenix, L, 2265, 3135
12041, 2011-8-26, cleveland browns, W, 4582, 1550
12042, 2006-11-14, louisiana superdome, W, 299, 4435
12043, 2003-9-4, dolphin, T, 1284, 8836
12044, 2006-1-10, university of phoenix, T, 2067, 7143
12045, 2011-10-25, ralph wilson, L, 4063, 5716
12046, 2004-6-27, candlestick, W, 3776, 891
12047, 2002-12-27, oakland-alameda, L, 3776, 8316
12048, 2011-4-24, georgia dome, T, 4390, 5952
12049, 2014-12-10, ralph wilson, T, 1106, 6470
12050, 2012-4-25, lambeau, T, 1091, 6685
12051, 2003-8-9, louisiana superdome, T, 2833, 7336
12052, 2000-9-17, lincoln, T, 363, 6159
12053, 2005-12-7, hubert metrodome, L, 3260, 7942
12054, 2012-1-15, invesco, L, 1044, 7895
12055, 2005-10-18, lucas oil, L, 2622, 4050
12056, 2006-11-22, lincoln, W, 2985, 3903
12057, 2010-3-22, fedexfield, L, 3049, 2246
12058, 2009-2-16, bank of america, T, 1959, 965
12059, 2018-10-11, lp, W, 3677, 2738
12060, 2001-6-24, m&t bank, T, 1605, 4331
12061, 2017-6-15, lambeau, W, 1947, 2042
12062, 2012-2-18, dallas cowboys, T, 460, 4270
12063, 2000-12-29, university of phoenix, T, 3414, 3302
12064, 2006-12-3, invesco, L, 442, 8189
12065, 2008-3-25, hubert metrodome, L, 469, 1284
12066, 2010-2-30, gillette, T, 4551, 9232
12067, 2014-11-30, candlestick, T, 4938, 7718
12068, 2014-6-24, paul brown, L, 4773, 2539
12069, 2005-5-12, giants, L, 1782, 8970
12070, 2000-7-27, cleveland browns, W, 1246, 9423
12071, 2000-4-20, dolphin, W, 4818, 5133
12072, 2001-2-29, oakland-alameda, W, 3860, 8708
12073, 2003-3-15, hubert metrodome, L, 3339, 1730
12074, 2016-1-20, heinz, L, 1310, 2218
12075, 2000-2-14, giants, W, 2121, 9105
12076, 2005-7-19, everbank, T, 686, 2779
12077, 2005-5-24, qualcomm, T, 305, 3881
12078, 2005-8-16, arrowhead, W, 4294, 6412
12079, 2008-9-10, dallas cowboys, L, 3977, 8333
12080, 2010-4-30, fedexfield, T, 3996, 8473
12081, 2012-8-19, fedexfield, T, 1408, 2821
12082, 2011-10-8, louisiana superdome, T, 887, 8450
12083, 2009-12-8, lincoln, T, 3147, 9081
12084, 2004-7-29, everbank, T, 2410, 2202
12085, 2008-5-21, heinz, W, 2170, 8427
12086, 2007-7-22, giants, L, 2544, 4800
12087, 2014-9-24, cleveland browns, T, 1562, 1396
12088, 2015-4-8, university of phoenix, L, 1336, 8113
12089, 2018-11-18, lp, T, 4550, 6320
12090, 2003-1-1, soldier field ii, W, 1235, 2003
12091, 2017-5-23, soldier field ii, T, 4364, 2965
12092, 2017-1-13, university of phoenix, T, 2517, 7276
12093, 2009-7-2, edward jones, T, 534, 889
12094, 2015-8-2, lucas oil, T, 2733, 2063
12095, 2009-10-25, cleveland browns, T, 4859, 3194
12096, 2014-5-14, oakland-alameda, T, 3933, 561
12097, 2017-5-22, giants, W, 269, 1964
12098, 2017-11-4, oakland-alameda, T, 3106, 7597
12099, 2012-4-19, candlestick, T, 3169, 6743
12100, 2005-7-7, louisiana superdome, L, 4304, 9902
12101, 2001-3-26, ralph wilson, W, 3877, 2721
12102, 2006-7-25, dallas cowboys, L, 2506, 2679
12103, 2005-3-25, candlestick, W, 2479, 5375
12104, 2015-7-20, m&t bank, W, 4136, 7669
12105, 2003-9-9, soldier field ii, T, 2939, 3569
12106, 2012-8-9, oakland-alameda, W, 250, 2962
12107, 2000-6-5, giants, W, 1218, 7865
12108, 2006-5-25, everbank, T, 4221, 2200
12109, 2014-3-12, qualcomm, W, 2692, 6129
12110, 2012-10-24, ralph wilson, T, 2194, 3470
12111, 2003-1-19, qwest, L, 4707, 2063
12112, 2007-6-20, university of phoenix, T, 1189, 5041
12113, 2009-12-26, cleveland browns, W, 1522, 9096
12114, 2004-11-22, giants, T, 753, 8643
12115, 2015-10-14, ralph wilson, T, 216, 3066
12116, 2015-8-15, university of phoenix, W, 238, 5967
12117, 2018-7-12, ford, T, 3907, 6287
12118, 2014-3-28, oakland-alameda, T, 322, 9208
12119, 2012-11-24, reliant, T, 1067, 9194
12120, 2001-7-20, raymond james, W, 1222, 1582
12121, 2012-1-29, soldier field ii, T, 2297, 8465
12122, 2016-2-3, louisiana superdome, W, 3321, 7478
12123, 2018-3-17, gillette, W, 4656, 6040
12124, 2012-3-26, edward jones, W, 3699, 9445
12125, 2005-1-2, dolphin, W, 181, 8888
12126, 2015-8-1, ford, L, 1558, 2935
12127, 2012-3-20, invesco, W, 2866, 6729
12128, 2008-11-26, m&t bank, L, 1587, 4279
12129, 2002-8-17, invesco, W, 4725, 8458
12130, 2015-12-22, qwest, T, 209, 5577
12131, 2009-10-16, edward jones, W, 1217, 6770
12132, 2003-10-29, gillette, T, 508, 4582
12133, 2015-6-27, lincoln, W, 3682, 1486
12134, 2018-9-21, giants, T, 4187, 512
12135, 2015-9-10, georgia dome, T, 4231, 9011
12136, 2005-9-23, louisiana superdome, L, 2754, 9553
12137, 2002-5-10, paul brown, W, 2057, 5000
12138, 2013-9-7, lambeau, L, 4085, 8936
12139, 2001-7-2, ford, L, 1826, 8991
12140, 2003-3-21, cleveland browns, W, 1903, 7708
12141, 2014-10-21, edward jones, T, 293, 3422
12142, 2011-9-27, lincoln, L, 2957, 6100
12143, 2003-12-5, lambeau, L, 1967, 8697
12144, 2018-2-18, ralph wilson, T, 4913, 4007
12145, 2014-6-13, arrowhead, T, 1873, 6751
12146, 2013-3-13, invesco, W, 3071, 1970
12147, 2002-6-24, soldier field ii, W, 1298, 6294
12148, 2004-4-24, dallas cowboys, W, 4671, 1514
12149, 2017-8-7, lambeau, L, 925, 7068
12150, 2005-9-6, m&t bank, T, 2210, 8063
12151, 2016-4-26, dolphin, L, 761, 6302
12152, 2006-8-14, edward jones, L, 2240, 9740
12153, 2009-8-14, lucas oil, W, 2539, 1627
12154, 2010-11-23, dolphin, T, 3303, 8233
12155, 2014-12-24, fedexfield, L, 609, 3447
12156, 2009-11-4, qwest, T, 4407, 3107
12157, 2007-7-12, dallas cowboys, W, 3496, 5331
12158, 2007-1-7, lp, L, 3995, 2509
12159, 2010-11-14, ford, W, 863, 2011
12160, 2014-3-5, raymond james, L, 2931, 4776
12161, 2012-6-28, everbank, W, 1669, 4299
12162, 2018-7-23, arrowhead, L, 2980, 6824
12163, 2004-3-6, dallas cowboys, W, 3185, 611
12164, 2012-3-29, ralph wilson, W, 1871, 3064
12165, 2006-9-25, everbank, L, 746, 9291
12166, 2004-12-30, candlestick, T, 768, 3836
12167, 2003-12-7, qwest, L, 4139, 3956
12168, 2011-9-15, bank of america, T, 2017, 1528
12169, 2008-12-5, georgia dome, W, 4436, 7409
12170, 2010-2-1, heinz, W, 1127, 2639
12171, 2000-5-30, lp, L, 288, 5325
12172, 2004-11-8, arrowhead, T, 2250, 8781
12173, 2012-3-22, bank of america, W, 1205, 5146
12174, 2001-2-28, ford, W, 1833, 6596
12175, 2018-6-5, lp, T, 1850, 9279
12176, 2002-10-15, arrowhead, T, 3771, 9206
12177, 2009-7-14, qwest, L, 4434, 7150
12178, 2014-5-9, hubert metrodome, T, 619, 3362
12179, 2016-5-25, m&t bank, T, 2757, 1172
12180, 2018-4-8, paul brown, T, 1289, 5055
12181, 2004-8-29, gillette, T, 3847, 8317
12182, 2010-12-20, m&t bank, W, 967, 5462
12183, 2013-4-9, candlestick, L, 3189, 2757
12184, 2002-10-24, qualcomm, W, 3916, 505
12185, 2011-7-25, ford, T, 592, 8193
12186, 2010-7-7, lambeau, T, 1791, 3695
12187, 2016-11-26, paul brown, W, 2916, 5319
12188, 2016-2-30, gillette, L, 2300, 6300
12189, 2004-10-6, lincoln, W, 4323, 8600
12190, 2012-1-11, lucas oil, W, 3247, 5423
12191, 2015-2-1, georgia dome, L, 787, 1087
12192, 2009-7-9, soldier field ii, T, 3119, 8105
12193, 2017-7-17, paul brown, L, 1254, 9515
12194, 2015-3-13, gillette, W, 409, 5936
12195, 2014-12-16, m&t bank, T, 892, 6276
12196, 2006-2-26, fedexfield, T, 4086, 5612
12197, 2010-9-26, bank of america, L, 2386, 502
12198, 2003-2-23, raymond james, L, 703, 7429
12199, 2018-4-27, lucas oil, T, 348, 3189
12200, 2012-4-18, lucas oil, T, 4597, 7908
12201, 2000-6-2, ralph wilson, T, 3273, 243
12202, 2008-1-14, lp, L, 3767, 8716
12203, 2001-8-1, cleveland browns, W, 342, 3621
12204, 2005-8-15, georgia dome, L, 756, 7646
12205, 2006-1-23, dallas cowboys, L, 3998, 654
12206, 2006-1-30, oakland-alameda, T, 3987, 8701
12207, 2016-5-8, fedexfield, L, 2257, 2498
12208, 2009-2-18, gillette, W, 1193, 8305
12209, 2007-1-27, lp, T, 464, 1611
12210, 2007-11-28, hubert metrodome, L, 1974, 3410
12211, 2014-4-18, everbank, T, 1122, 8416
12212, 2014-3-14, georgia dome, W, 1170, 4278
12213, 2012-1-11, qualcomm, L, 299, 7235
12214, 2008-4-21, cleveland browns, W, 3897, 8685
12215, 2007-10-5, raymond james, T, 1875, 1922
12216, 2015-5-30, qualcomm, L, 2285, 4595
12217, 2015-8-19, dolphin, L, 3392, 8055
12218, 2016-6-30, university of phoenix, T, 1871, 2001
12219, 2013-6-19, edward jones, T, 1101, 4237
12220, 2006-12-7, georgia dome, T, 2199, 1665
12221, 2011-11-23, edward jones, L, 562, 506
12222, 2001-11-1, edward jones, L, 1756, 4942
12223, 2007-11-2, reliant, L, 3483, 985
12224, 2018-3-14, oakland-alameda, T, 637, 6242
12225, 2001-1-6, invesco, T, 4824, 4863
12226, 2014-3-25, candlestick, T, 2001, 9076
12227, 2005-1-26, lp, L, 127, 9336
12228, 2013-7-3, lambeau, W, 4787, 8633
12229, 2002-6-5, qualcomm, L, 2442, 7453
12230, 2001-8-30, giants, W, 4302, 195
12231, 2002-6-16, ralph wilson, W, 119, 9351
12232, 2007-10-7, lincoln, T, 1407, 4726
12233, 2018-6-24, candlestick, T, 4826, 2666
12234, 2007-8-19, cleveland browns, L, 1785, 5605
12235, 2010-10-24, invesco, L, 1086, 5547
12236, 2001-8-18, dallas cowboys, T, 488, 3993
12237, 2004-5-6, heinz, T, 1903, 9666
12238, 2013-11-27, reliant, W, 3216, 2970
12239, 2011-9-17, lp, T, 3267, 9568
12240, 2013-6-29, qwest, T, 2093, 3675
12241, 2008-2-8, heinz, L, 1272, 2171
12242, 2011-2-15, hubert metrodome, L, 1444, 2922
12243, 2006-5-28, gillette, T, 4716, 7179
12244, 2017-1-30, cleveland browns, T, 4105, 648
12245, 2017-7-9, paul brown, T, 4902, 6022
12246, 2008-2-22, qwest, T, 1457, 3232
12247, 2006-1-3, qualcomm, T, 3403, 1026
12248, 2010-8-2, ralph wilson, W, 4132, 9093
12249, 2014-6-7, qualcomm, T, 4201, 799
12250, 2008-2-9, lambeau, L, 960, 4261
12251, 2016-8-24, cleveland browns, W, 507, 5535
12252, 2017-1-9, paul brown, T, 935, 867
12253, 2015-5-26, dolphin, L, 3758, 1919
12254, 2009-4-30, reliant, W, 445, 4396
12255, 2001-7-25, heinz, T, 4168, 3009
12256, 2018-4-6, arrowhead, T, 1091, 3585
12257, 2017-2-20, dallas cowboys, W, 2824, 7870
12258, 2008-1-12, lincoln, T, 1562, 3118
12259, 2014-12-29, cleveland browns, W, 317, 1474
12260, 2012-3-4, giants, T, 1808, 8865
12261, 2005-6-15, edward jones, T, 503, 8856
12262, 2001-4-27, lucas oil, L, 2714, 6822
